acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2023-04-05 02:18:06,84,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/017-1701.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-05 01:24:34,83,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/016-1601.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-05 00:31:06,92,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/015-1501.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 23:37:37,90,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/014-1401.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 22:44:09,89,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/013-1301.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 21:50:42,88,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/012-1201.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 20:57:16,87,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/011-1101.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 20:03:43,86,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/010-1001.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 19:10:13,85,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/009-0901.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
2023-04-04 18:16:42,82,/Users/jonathan/0_jono_data/2023-04-04_WINES_2023-04-04_12-01-53/008-0801.D,AVANTOR100X4_6C18-H2O-MEOH-2_5.M,empty,sequence,2023-04-04_WINES_2023-04-04_12-01-53,DAD1A.ch,DAD1.UV
