id,vintage,name,open_date,sample_date,added_to_cellartracker,notes,size
00,2016,zema estate 'family selection' cabernet sauvignon,,,y,"fridge. sampled at 21:20 20230122, stored for 10h before transport to lab.",750
00,2016,zema estate 'family selection' cabernet sauvignon,,,y,"freezer storage. sampled at 21:20 20230122, stored for 10h before transport to lab.",750
00,2016,zema estate 'family selection' cabernet sauvignon,,,y,ambient storage. sampled at 21:20 20230122.,750
01,2022,william downie 'cathedral' pinot noir,,,y,ambient 2 weeks. sampled 20230111.,750
02,2021,babo chianti,,,y,ambient 2 weeks. sampled 20230111.,750
03,2021,joshua cooper shay's flat cabernet sauvignon,2023-02-04,,y,,750
05,2022,william downie 'cathedral' pinot noir,02-02,,y,,750
06,2021,babo chianti,04-02,,y,,750
07,2020,uva non grata gamay,04-02,,y,,750
08,2021,hey malbec,04-02,,y,,750
09,2018,crawford river cabernets,01/02,,y,,750
10,2021,john duval concilio shiraz,06-02,,y,,750
11,2021,joshua cooper shay's flat cabernet sauvignon,,,y,,750
12,2020,joseph faiveley bourgogne pinot noir,03-02,,y,under corevin,750
13,2021,pithon-paille 'grololo',19-01,,y,under corevin,750
14,null,"empty id, missing wine",,,y,,750
15,2020,torbreck the struie,27-01,,y,under corevin,750
16,2021,girolamo russo etna nerina,27-01,,y,under corevin,750
17,2021,koerner wine nielluccio sangiovese,06-02,,y,under corevin,750
18,null,"empty id, missing wine",,,y,,750
19,2021,by farr chardonnay,02-02,,y,under corevin (pivot),750
20,2018,protero gumeracha nebbiolo,,,y,fresh open,750
21,2021,jim barry watervale riesling,06-02,,y,,750
22,2019,kuenhof riesling,10-02,,y,,750
23,2018,domaine des lises crozes-hermitage ,10-02,,y,,750
24,2022,stargazer riesling,09-02,,y,"one duplicate, 242",750
25,nv,nv ulysse collin champagne blanc de blancs extra brut les pierrières,13-02,,y,,750
26,2016,anna maria abbona barolo bricco san pietro,10-02,,y,,750
27,null,mystery,10-02,,y,,750
28,2021,cullen wines mangan east block,09-02,,y,,750
29,2008,torbreck descendant shiraz viognier,09-02,,y,"5 duplicates, 291, 292, 293, 294, 295",750
30,2009,st hugo cabernet sauvignon,09-02,,y,,750
31,2013,woodlands cabernet merlot,15-02,,y,,750
32,2021,by farr chardonnay,,2023-03-13,y,,750
33,2021,pithon-paille 'grololo' rouge,,2023-03-13,y,,750
34,2020,uva non grata gamay,,2023-03-13,y,,750
35,2021,ciu ciu 'oris' falerio,,2023-03-13,y,,750
36,2021,nino barraco 'fior di bianco',,2023-03-13,y,,750
37,2022,dom. simha paysan fleur sauvage,,2023-03-13,y,,750
38,2018,crawford river cabernets,,2023-03-13,y,,750
39,2021,john duval concilio shiraz,,2023-03-13,y,,750
40,2020,joseph faiveley bourgogne rouge,,2023-03-13,y,,750
41,2021,St Hugo Grenache Shiraz Mataro,,2023-03-13,y,,750
42,2017,Andrea Oberto Barolo,,2023-03-13,y,,750
43,2021,stoney rise pinot noir,,2023-03-13,y,,750
44,2021,girolamo russo etna nerina,,2023-03-13,y,,750
45,2022,jumping juice shiraz,,2023-03-13,y,,750
46,2019,orlando 'steingarten' riesling,,2023-03-13,y,,750
47,2020,yangarra 'roux beaute' roussanne,,2023-03-13,y,,750
48,2020,babo chianti,,2023-03-13,y,potentially mislabelled,750
49,2020,matias riccitelli hey malbec,,2023-03-13,y,potentially mislabelled,750
50,2022,mt horrocks cordon cut riesling,,2023-03-13,y,"can't be this wine, didnt sample any sweet wines. vial contains a red wine that tastes like malbec.",750
51,nv,dom. gavoty 'cuvee cignal' rose,,2023-03-13,y,,750
52,2022,vinden headcase 'pokolbin blanc',,2023-03-13,y,,750
53,2021,nick spencer 'tumbarumba' chardonnay,,2023-03-13,y,,750
54,2021,domaine fevre ac chablis,,2023-03-13,y,,750
55,nv,mumm tasmania brut prestige,,2023-03-13,y,,750
56,2022,yangarra estate rose,,2023-03-13,y,potentially mislabelled,750
57,2021,le pezze pinot grigio,,2023-03-13,y,,750
58,2021,pieropan soave,,2023-03-16,y,,750
59,2021,billaud d'or bourgogne blanc,,2023-03-16,y,,750
60,2017,anna maria abbona barolo,,2023-03-16,y,,750
61,2019,shaw and smith shiraz balhannah,,2023-03-16,y,,750
62,2020,spinifex bete noir,,2023-03-16,y,,750
63,2021,domaine seguinot-bordet chablis,,2023-03-16,y,,750
