date,weekday,time,exp,experimenter
2023-04-18,Tuesday,04:00:00,,
2023-04-18,Tuesday,05:00:00,,
2023-04-18,Tuesday,06:00:00,,
2023-04-18,Tuesday,07:00:00,,
2023-04-18,Tuesday,08:00:00,,
2023-04-18,Tuesday,09:00:00,,
2023-04-18,Tuesday,10:00:00,,
2023-04-18,Tuesday,11:00:00,,
2023-04-18,Tuesday,12:00:00,,
2023-04-18,Tuesday,13:00:00,,
2023-04-18,Tuesday,14:00:00,,
2023-04-18,Tuesday,15:00:00,,
2023-04-18,Tuesday,16:00:00,,
2023-04-18,Tuesday,17:00:00,,
2023-04-19,Wednesday,04:00:00,a0101,
2023-04-19,Wednesday,05:00:00,a0201,
2023-04-19,Wednesday,06:00:00,a0301,
2023-04-19,Wednesday,07:00:00,a0301,
2023-04-19,Wednesday,08:00:00,a0301,
2023-04-19,Wednesday,09:00:00,n0101,jono
2023-04-19,Wednesday,10:00:00,n0201,jono
2023-04-19,Wednesday,11:00:00,n0301,jono
2023-04-19,Wednesday,12:00:00,e0101,jono
2023-04-19,Wednesday,13:00:00,e0201,jono
2023-04-19,Wednesday,14:00:00,e0301,jono
2023-04-19,Wednesday,15:00:00,,
2023-04-19,Wednesday,16:00:00,,
2023-04-19,Wednesday,17:00:00,,
2023-04-20,Thursday,04:00:00,a0101,
2023-04-20,Thursday,05:00:00,a0201,
2023-04-20,Thursday,06:00:00,a0301,
2023-04-20,Thursday,07:00:00,a0301,
2023-04-20,Thursday,08:00:00,a0301,
2023-04-20,Thursday,09:00:00,,
2023-04-20,Thursday,10:00:00,,
2023-04-20,Thursday,11:00:00,,
2023-04-20,Thursday,12:00:00,,
2023-04-20,Thursday,13:00:00,,
2023-04-20,Thursday,14:00:00,,
2023-04-20,Thursday,15:00:00,,
2023-04-20,Thursday,16:00:00,,
2023-04-20,Thursday,17:00:00,,
2023-04-21,Friday,04:00:00,a0101,
2023-04-21,Friday,05:00:00,a0201,
2023-04-21,Friday,06:00:00,a0301,
2023-04-21,Friday,07:00:00,a0301,
2023-04-21,Friday,08:00:00,a0301,
2023-04-21,Friday,09:00:00,n0102,jono
2023-04-21,Friday,10:00:00,n0202,jono
2023-04-21,Friday,11:00:00,n0302,jono
2023-04-21,Friday,12:00:00,e0102,jono
2023-04-21,Friday,13:00:00,e0202,jono
2023-04-21,Friday,14:00:00,e0302,jono
2023-04-21,Friday,15:00:00,,
2023-04-21,Friday,16:00:00,,
2023-04-21,Friday,17:00:00,,
2023-04-22,Saturday,04:00:00,a0101,
2023-04-22,Saturday,05:00:00,a0201,
2023-04-22,Saturday,06:00:00,a0301,
2023-04-22,Saturday,07:00:00,a0301,
2023-04-22,Saturday,08:00:00,a0301,
2023-04-22,Saturday,09:00:00,,
2023-04-22,Saturday,10:00:00,,
2023-04-22,Saturday,11:00:00,,
2023-04-22,Saturday,12:00:00,,
